,Unternehmen,Insolvent,In dnb,Mitarbeiter,Umsatz,Datum,ReviewRating,Anstellung,Bereich,ReviewTitel,Was macht dein Arbeitgeber in Corona-Zeiten gut?,Was macht dein Arbeitgeber in Corona-Zeiten nicht gut?,Was sollte dein Unternehmen in Corona-Zeiten (anders) machen?,Wofür möchtest du deinen Arbeitgeber im Umgang mit der Corona-Situation loben?,Was macht dein Arbeitgeber im Umgang mit der Corona-Situation nicht gut?,Wo siehst du Chancen für deinen Arbeitgeber mit der Corona-Situation besser umzugehen?,Wie kann dich dein Arbeitgeber im Umgang mit der Corona-Situation noch besser unterstützen?,Gut am Arbeitgeber finde ich,Schlecht am Arbeitgeber finde ich,Verbesserungsvorschläge,Arbeitsatmosphäre_s,Arbeitsatmosphäre,Image_s,Image,Work-Life-Balance_s,Work-Life-Balance,Karriere/Weiterbildung_s,Karriere/Weiterbildung,Gehalt/Sozialleistungen_s,Gehalt/Sozialleistungen,Umwelt-/Sozialbewusstsein_s,Umwelt-/Sozialbewusstsein,Kollegenzusammenhalt_s,Kollegenzusammenhalt,Umgang mit älteren Kollegen_s,Umgang mit älteren Kollegen,Vorgesetztenverhalten_s,Vorgesetztenverhalten,Arbeitsbedingungen_s,Arbeitsbedingungen,Kommunikation_s,Kommunikation,Gleichberechtigung_s,Gleichberechtigung,Interessante Aufgaben_s,Interessante Aufgaben
713,it-economics GmbH,Nein,Ja,80,20.03,2017-10-25T00:00:00+00:00,"4,6",Ex-Führungskraft / Management,IT,Sehr guter Arbeitgeber,,,,,,,,Angefangen vom Bewerbungsprozess ist alles sehr professionell und dennoch sympathisch und familiär organisiert. Auch bei wachsender Größe sollte das beibehalten werden!Das Arbeitsklima ist sehr angenehm. Alle Kollegen sind sehr kompetent und verbindlich. Auch unerfahrene Kollegen und Berufseinsteiger werden nicht in Projekten verheizt.,"Etwas wirklich schlechtes kann ich zu diesem Arbeitgeber nicht sagen. Es sind Kleinigkeiten, die vielleicht noch ein bisschen Optimierung erfordern,das alles sind aber keine wirklich gewichtigen Probleme.Vielleicht könnte man in Zukunft versuchen, mehr Projekte außerhalb des ""Brot- und Buttergeschäfts"" und Kunden, die sich als Innovationsführer betätigen, zu finden.","Die Anzahl der Boards, Arbeitsgruppen, etc. schien mir etwas hoch. Eine Reduzierung und damit Verschlankung der Kommunikationsstrukturen hätte wahrscheinlich positive Effekte.",5.0,"Sehr angenehmes, konstruktives Arbeitsklima.",4.0,"Der Bekanntheitsgrad ist,der Größe entsprechend,eher gering, in den Häusern der Kunden hat das Unternehmen aber einen sehr guten Ruf.",5.0,"Für eine Beratung sehr gut,habe ich in dieser Form noch nicht gesehen.",5.0,"Jeder Mitarbeiter hat ein jährliches Schulungsbudget, dass für intern und extern durchgeführte Trainings verwendet werden kann.",4.0,"Branchenübliches Gehaltsniveau,lediglich das Bonusberechnungsprinzip fand ich etwas undurchsichtig.",5.0,,5.0,"Der Zusammenhalt ist sehr gut, ich habe weder übertriebene Politik noch Fraktionsbildung wahrgenommen.",5.0,,5.0,"Die direkte Kommunikation ist auf allen Eben möglich, die Zusammenarbeit verläuft über alle Ebenen hinweg durchgehend kollegial.",5.0,"Die Hardware-Ausstattung ist zeitgemäß, der IT-Support ist schnell und hilfsbereit. Lediglich die Raumsituation war etwas beengt.",4.0,Die Kommunikationsstrukturen haben scheinbar stellenweise mit dem Wachstum der Firma noch nicht ganz Schritt gehalten.,5.0,,3.0,Die Einsätze sind für ein Beratungshaus dieser Größe typische Projekte.
714,it-economics GmbH,Nein,Ja,80,20.03,2017-06-28T00:00:00+00:00,"4,8",Angestellte/r oder Arbeiter/in,IT,"Tolle Firma,Klasse Team",,,,,,,,"Familiär, persönlich, individuell, fair, ehrlich,Macht Spaß",-,-,5.0,,5.0,it-economics ist klein aber fein.,5.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,Alles Perfekt... immer offene Türen,5.0,,5.0,,5.0,,4.0,Nicht alle Kundenaufträge sind leading edge aber immer etwas mit Lernpotential
715,"Tieto Deutschland GmbH, seit 1.7.13 brightONE",Nein,Nein,,,2013-07-03T00:00:00+00:00,"3,8",Angestellte/r oder Arbeiter/in,,"Viel Freiraum, super nette Kollegen. Aber...",,,,,,,,"Viel Freiraum, super nette Kollegen. Aber schwierige Projektsituation und den Kauf durch den Investor Aurelius eher verhaltene Stimmung...",,,4.0,"Durch Investor eingetrübt, aber die netten Kollegen fangen das ein wenig ab",2.0,"Unbekannt, da neu",5.0,"HO wann immer man mag,die Hauptsache ist, die Arbeit wird gemacht.",3.0,Auch hier muss man sich selbst kümmern. PE Fehlanzeige!,5.0,Daran gibt es nichts zu meckern.,3.0,,5.0,"Habe noch nie so viele, nette Kollegen gehabt!",5.0,"Da der Durchschnitt eher Ü35/ 40 ist, sehr gut!",4.0,"Viele Freiräume, aber niemand ""kümmert"" sich",3.0,"Moderne, helle Arbeitsräume, die dennoch langweilig wirken und in manchen Bereichen im Großraumbüro wie in einer Fabrik :-(",2.0,Wie immer in Übernahmezeiten schlecht,5.0,Jeder kann hier alles werden,2.0,Stellenbeschreibung und Aufgabengebiet stimmen kaum überein...
716,First Cloud Business Software GmbH,Nein,Nein,,,2014-02-19T00:00:00+00:00,"4,0",Ex-Angestellte/r oder Arbeiter/in,,Alles prima!,,,,,,,,,,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,
717,www.life-coaching-wuerzburg.de,Nein,Nein,,,2015-03-09T00:00:00+00:00,"5,0",Angestellte/r oder Arbeiter/in,,Kompetent und wertschätzend,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,,5.0,
718,SIRE Life Sciences,Nein,Ja,5,0.41,2015-11-25T00:00:00+00:00,"2,5",Ex-Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,Interessante Erfahrung,,,,,,,,Der Optimismus der Mitarbeiter,Die Mitarbeiterbetreung,Positive Dinge von Wettbewerbern übernehmen,2.0,Die Arbeitsatmosphäre ist sehr stark vom Leistungsdenken geprägt,2.0,Das Unternehmen ist noch zu kurz am Markt man dies beurteilen zu können.,3.0,Kein Punkt mit dem sich das Unternehmen beschäftigt,2.0,Leider angesichts der Größe des Unternehmens nicht gegeben,2.0,Der Wettbewerb bietet attraktive Angebote,2.0,Kein Punkt mit dem sich das Unternehmen beschäftigt,4.0,"Im Anbetracht der Erwartungshaltung die an Mitarbeiter gerichtet ist, bildet sich ein guter Zusammenhalt unter den Kollegen",3.0,es gibt keine Kollegen in diesem Alter,2.0,Emphatie und respektvoller Umgang mit Mitarbeitern sollte sehr wichtig sein.,3.0,"Die Arbeitszeiten sind klar definiert und erlauben keine Abweichung. Das Office ist repräsentabel auch wenn es in einen Bürogemeinschaft integriert ist. Bitte berücksichtigen: das Unternehmen bleibt immer unter 10 MA exklusive GF, damit man fristlos nach der Probezeit kündigen kann.",2.0,"Es ist eine kommunikative Herausforderung, wenn die GF nicht die Landessprache spricht",3.0,Kein Punkt mit dem sich das Unternehmen beschäftigt,2.0,"Die Aufgaben entsprechen denen, die bei einem Personaldienstleister gefordert sind. Dies geschieht in Anlehnung an die Arbeitsphilosophie aus Übersee."
719,SIRE Life Sciences,Nein,Ja,5,0.41,2015-11-16T00:00:00+00:00,"1,7",Ex-Angestellte/r oder Arbeiter/in,,"Sehr arrogante Type, es lohnt sich nicht.",,,,,,,,,,"Geld ist nicht die einzelne Motivation, kümmern Sie um Ihre Menschen",2.0,,1.0,,1.0,nie früher als 21.00 zuhause war,1.0,,2.0,,1.0,,3.0,,1.0,keine Kollegen über 35,2.0,"Sie glauben sie sind die Beste der Beste, arrogantes Verhältnis",2.0,,2.0,,2.0,,2.0,
720,SIRE Life Sciences,Nein,Ja,5,0.41,2015-11-07T00:00:00+00:00,"4,8",Angestellte/r oder Arbeiter/in,,Tolle Firma!,,,,,,,,"Super dynamische Firma, interessante Aufgaben! Geniale Kollegen. Gutes Arbeitsklima und vorgesetzte sind offen für neue Ideen.",,,5.0,,5.0,,4.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
721,SIRE Life Sciences,Nein,Ja,5,0.41,2015-07-07T00:00:00+00:00,"4,1",Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,"Junges Unternehmen, direkte und offene Kommunikation, sehr gutes Entwicklungspotential",,,,,,,,Sehr direkte und offene KommunikationKlares Feedback in monatlichen ZielgesprächenSehr gute EntwicklungsmöglichkeitenStetiges WachstumSehr gute Hardware und ein hervorragender StandortDas Team,,Ein größeres Büro wäre wünschenswert,4.0,,4.0,"Es handelt sich um ein junges Unternehmen mit sehr direkter und offener Kommunikation. Meiner Meinung nach gibt es auf hervorragende Entwicklungsmöglichkeiten, die Gehälter sind absolut Marktüblich und die Umsatzbeteiligungen sind sehr gut. Es wird Leistung verlangt wobei nicht ausschließlich die Umsatzzahlen unter dem Strich angesehen werden sonder auch großer Wert auf Input gelegt wird. Insgesamt fühle ich mich hier sehr wohl, gehe gerne in die Arbeit und empfehle das Unternehmen gerne als Arbeitgeber weiter.",3.0,,4.0,,4.0,,,,5.0,,,,4.0,,3.0,,5.0,,5.0,,4.0,
722,SIRE Life Sciences,Nein,Ja,5,0.41,2015-05-02T00:00:00+00:00,"1,3",Ex-Angestellte/r oder Arbeiter/in,,"Reiner Vertrieb, schlechte Arbeitsbedingungen und wenig Gestaltungsspielraum",,,,,,,,"Das einzig Positive bei Sire ist das Team, das meistens sehr gut zusammenhält. Allerdings ist dies so, da die Führungsriege streng hierarchisch agiert und dies im Gegenzug zu einem Zusammengehörigkeitsgefühl der Angestellten führt.","Die Mitarbeiter haben bei der Gestaltung Ihrer Arbeit kein Mitspracherecht. Es werden klare Anweisungen gegeben, die dann ohne Reflexion umgesetzt werden sollen. Mehrarbeit ist dort absolut normal (bis in die späten Abendstunden) und die Arbeitsbedingungen sind schlecht (kleines Büro, alle sitzen an einem großen Tisch). Das Arbeitsklima leidet unter diesen Bedingungen und ist geprägt von einem verbissenen und ängstlichen Grundton. Die Arbeit an sich ist wenig abwechslungsreich, Call Center Arbeit und reiner Vertrieb.Insgesamt ist Sire ein sehr junges Unternehmen, das bis jetzt für seine Arbeitnehmer wenig bietet, aber viel von ihnen erwartet.",Anregungen der Mitarbeiter sollten ernst genommen werden und gemeinsam an Verbesserungen gearbeitet werden.,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,4.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,
723,SIRE Life Sciences,Nein,Ja,5,0.41,2014-08-27T00:00:00+00:00,"4,0",Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,"""Teamplay, Respekt, super Unternehmen""",,,,,,,,"Super Team, Super Atmosphäre und viel Spaß bei der Arbeit :)",Viel telefonieren,,4.0,,4.0,,3.0,,4.0,,4.0,,3.0,,5.0,,5.0,,4.0,,3.0,,4.0,,5.0,,4.0,
724,SIRE Life Sciences,Nein,Ja,5,0.41,2020-05-08T00:00:00+00:00,"5,0",Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,Interesting working environment,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
725,SIRE Life Sciences,Nein,Ja,5,0.41,2020-01-08T00:00:00+00:00,"5,0",Angestellte/r oder Arbeiter/in,Personal / Aus- und Weiterbildung,Fresh young transparent organization,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
726,SIRE Life Sciences,Nein,Ja,5,0.41,2019-09-06T00:00:00+00:00,"5,0",Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,Great place to start your career!,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,5.0,,5.0,,5.0,,,,5.0,
727,SIRE Life Sciences,Nein,Ja,5,0.41,2019-06-12T00:00:00+00:00,"5,0",Angestellte/r oder Arbeiter/in,,Learned a lot in a short time (training and colleagues) and can immediately apply it in practice.,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
728,Jörg1000freund. Training.,Nein,Nein,,,2018-06-20T00:00:00+00:00,"5,0",Führungskraft / Management,Personal / Aus- und Weiterbildung gearbeitet.</span></div>,Bester motivierter und angagierter Vorgesetzter,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
729,Weise Fashion Verwaltungs-GmbH,Nein,Ja,2,0.29,2017-01-20T00:00:00+00:00,"5,0",Angestellte/r oder Arbeiter/in,,Top,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
730,Model GmbH,Nein,Nein,,,2018-03-28T00:00:00+00:00,"2,2",Angestellte/r oder Arbeiter/in,Administration / Verwaltung,Standortmanagement mit Potential nach oben,,,,,,,,,,,2.0,"Teilweise angespannte Arbeitsatmosphäre, Arbeitspensum grundsätzlich für 2",2.0,,1.0,,3.0,,2.0,"Bezahlung unter Tarif, keine Sozialleistungen, keine Personalabteilung.""HR"" wird nebenbei erledigt.",2.0,,2.0,,2.0,,2.0,Vorgesetzte / Standortmanagement nicht Kritikfähig.,2.0,,1.0,"Es wird Kommunikation gepredigt, diese erfolgt bei intern wichtigen Themen aber erst wenn sowieso schon bekannt.",3.0,,4.0,
731,Model GmbH,Nein,Nein,,,2017-11-25T00:00:00+00:00,"4,1",Angestellte/r oder Arbeiter/in,,Super,,,,,,,,Flexible und man kann freie Entscheidungen treffen,Überstunden und ein mieses einkommen,Besseres Gehalt sollte schon sein,5.0,,5.0,,5.0,,5.0,,2.0,,3.0,,4.0,,5.0,,1.0,,5.0,,5.0,,3.0,,5.0,
732,Model GmbH,Nein,Nein,,,2017-08-02T00:00:00+00:00,"1,9",Angestellte/r oder Arbeiter/in,,"Blasierte Mitarbeiter, rumgezicke ohne Ende",,,,,,,,Fame Fame Fame,"Hochnäsigkeit, Selbstverliebtheit, jeder verdient anders für die gleiche Arbeit",,3.0,,3.0,,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,,5.0,,1.0,,2.0,,1.0,,3.0,
733,Model GmbH,Nein,Nein,,,2017-04-20T00:00:00+00:00,"1,0",Ex-Angestellte/r oder Arbeiter/in,Finanzen / Controlling,"keine Struktur, hohe Fluktuation in allen Bereichen",,,,,,,,,,mehr Transparenz in der Firmenpolitik.Rücksichtsvoller und freundlicher Umgang miteinander fördern und als Vorgesetzter selbst vorleben.,1.0,"ein bleiernes Schweigen im Büro, keiner sagt etwas, keiner lacht.",1.0,,1.0,Es ist kein Problem kurzfristig Urlaub zu bekommen.,1.0,Jegliche Art der Motivation wird als selbstverständlich betrachtet. Möglichkeiten zur beruflichen und persönlichen Weiterentwicklung der Mitarbeiter gibt es nicht und werden vom Vorgesetzten nicht angestrebt.,1.0,,1.0,,1.0,Im Büro ist jeder für sich. Abteilungsübergreifend kann man miteinander gut umgehen.,1.0,sind halt da.,1.0,"Führung nach Lust und Laune. Keine konstruktive Kritik, kein Feedback. Qualifizierte Mitarbeiter sind unerwünscht,werden als Gefahr für eigene Position gesehen und schnell gekündigt. Je unerfahrene die Mitarbeiter, desto größer die Überlebenschance. Die Mitarbeitergespräche bestehen überwiegend aus eigener Darstellung des Vorgesetztes. Es wird alles gemacht, um eigenes Ego zu füttern, die Interessen und Wünsche der Mitarbeiter sind irrelevant.",1.0,Bei Gestaltung der Büros werden die Mitarbeiter nicht gefragt und nach Lust und Laune mit dem Rücken zur Tür gesetzt.,1.0,"Transparenz über Firmenpolitik ist gleich 0.Es herrscht ein Schweigen, trotzdem sollte alles selbsterklärend sein.",1.0,Die soziale Schichten werden sehr berücksichtigt.,1.0,"Man hat schon eine gewisse Freiheit, allerdings unter Berücksichtigung der nicht vorhandener Struktur wird man in kritischer Situation schnell als Schuldiger dargestellt."
734,Model GmbH,Nein,Nein,,,2016-12-05T00:00:00+00:00,"1,3",Ex-Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,man muss sehr verzweifelt sein...,,,,,,,,wenig,vieles,am besten nach Bangladesch outsourcen,1.0,Zusammenhalt der Kollegen durch entsprechenden Druck von Oben...,1.0,Bei Angestellten schlecht,1.0,"Kein Life, nur Work, für wenig wenig..",1.0,Nicht vorhanden,1.0,"man sollte unbedingt am 1. seine Monatskarte gekauft haben, ansonsten wirds eng",1.0,Asozialbewusstsein,3.0,Wenn sich nicht unbedingt jemand bei der Obrigkeit profilieren will...,1.0,werden gleichermaßen ausgebeutet,1.0,Nicht menschlich,1.0,"Wenn man ein ""Callcentre"" betreibt, sollte man eigentlich Headsets haben und nicht den Hörer zwischen Schulter und Ohr klemmen... wie gesagt, gesundheitsschädigend.",1.0,Altertümlich. Gesundheitsschädigend.,1.0,Gleichberechtigung? zwischen sozialen Schichten?,3.0,Kunden sind oft sehr witzig
735,Model GmbH,Nein,Nein,,,2016-06-20T00:00:00+00:00,"1,8",Führungskraft / Management,Forschung / Entwicklung,"Keine klare Linie,heute so, morgen ganz anders",,,,,,,,"Es wäre ein guter Arbeitgeber. Grundsätzlich werden einem Freiheiten gegönnt und man hat auch mehr Aufgaben, als man ursprünglich in der Arbeitsbeschreibung hat (siehe nächsten Punkt). Die Kollegen halten abteilungsübergreifend zusammen, was unterhalb der Führungsebene zu flachen Hierarchien und schnellen und unbürokratischen Lösungen führt.","Entscheidungen werden grundsätzlich nach Tageslaune gefällt, und das in allen Bereichen. Man kann seine eigene Arbeit zwar nach seinen eigenen Vorstellungen machen,aber nur so lange, bis einer der Führungskräfte anscheinend Langeweile hat und einem über die Schulter schaut,dann müssen selbst am Ende eines Prozesses noch schnell Änderungen geführt werden, weil ein Detail der entsprechenden Person nicht gefällt.Eigene Entscheidungen werden so lange toleriert, wie es in die persönlichen Ansichten der Führungsebene passt. Andere Meinungen führen unmittelbar zu schlechter Laune.Leidenschaft am Thema oder persönliches Wissen ist hier grundsätzlich völlig irrelevant,es geht primär um die Maximierung des Gewinns. Dies wird dann gerne auch einmal mit der Kündigung von Mitarbeitern erzielt. Positive Motivation Fehlanzeige, stattdessen wird lieber eine permanente Drucksituation geschaffen.Im Laufe des Arbeitslebens bekommt man immer mehr Aufgaben zugeschoben,beispielsweise weil ein Kollege entlassen wurde und man der Meinung ist, dass für seinen Aufgabenbereich nun niemand spezielles mehr gebraucht wird. Man bekommt diese Arbeiten also einfach hinzu,und muss sich letztendlich dann dafür rechtfertigen, warum man nicht mehr mit der eigenen Arbeit hinterherkommt.Unternehmensentscheidungen bekommt man, übertrieben gesagt, eher aus der Zeitung mit als vom eigenen Unternehmen, es herrscht eine Politik des Schweigens. Es wird aber gleichzeitig auch davon ausgegangen, dass jeder diese Entscheidungen dann auch kennt und danach handelt...Schulungen und Weiterbildungen werden gerne gesehen,so lange es kein Geld kostet.Das sind aber alles Punkte die man in einem gewissen Rahmen noch nachvollziehen könnte,wäre da nicht die Sprunghaftigkeit des Firmenleiters. Langfristige Planung ist keinerlei Thema, stattdessen werden wichtige Grundsatzentscheidungen nach Tageslaune gefällt (selbst wenn das völlig konträr zu den bisherigen Planungen steht!)- und das kann dann eben auch schon einmal beinhalten, dass Mitarbeiter entlassen werden.","Es steckt so viel Potential in den Mitarbeitern. Einfach mal darauf vertrauen dass sie schon wissen was sie tun ... und ihnen nicht bei jeder Möglichkeit den eigenen Willen aufdrängen. Akzeptieren, dass die Mitarbeiter keinen Maschinen sind,jeder hat mal einen schlechten Tag. Und das wichtigste: Nicht alles gleich als persönlichen Angriff sehen, nur weil jemand eine andere Meinung hat als man selbst.",2.0,,1.0,,1.0,,1.0,,1.0,,1.0,,5.0,,2.0,,2.0,,1.0,,1.0,,2.0,,3.0,
736,Model GmbH,Nein,Nein,,,2016-03-31T00:00:00+00:00,"1,4",Ex-Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,Mißgunst und Mobbing an der Tagesordnung,,,,,,,,,,das Personalführungskonzept muß grundlegend überdacht werden...,1.0,"angespannte Arbeitsatmosphäre,ein Mitarbeiter erhält hier i.d.R. ein so umfangreiches Arbeitspensum, dass er für 2 arbeiten muß, wenn sein Kollege fehlt, sogar für 3... schade um das interessante Aufgabengebiet.",1.0,,1.0,,2.0,,2.0,,1.0,,1.0,Die Mißgunst unter den Kollegen ist in dieser Firma besonders ausgeprägt. Teamgeist? Fehlanzeige! Das Verhalten einiger Kollegen muß ich schlicht und einfach als Mobbing bezeichnen.,3.0,,1.0,"Vorgesetzte dulden stillschweigend, dass einige Mitarbeiter den Arbeitsplatz dazu benutzen, um ihre Aggressionen loszuwerden, sprich um sich ""auszutoben"".",1.0,,1.0,,2.0,,1.0,
737,Model GmbH,Nein,Nein,,,2015-04-30T00:00:00+00:00,"3,5",Ex-Praktikant/in,,"Null Bock,keine Chance",,,,,,,,Setzen sich bei Leistung für Mitarbeiter ein,Automobilzulieferer- Immer Vollgas,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,4.0,,5.0,,5.0,,4.0,,3.0,,4.0,
738,Model GmbH,Nein,Nein,,,2014-01-21T00:00:00+00:00,"1,4",Ex-Angestellte/r oder Arbeiter/in,Administration / Verwaltung,"Finger weg-absolute ausbeute,mobbing,Respektlosigkeit",,,,,,,,,"Finger weg!Chefs kennen keinen Respekt,psychospielchen mit Angestellten bis sie von selber kündigen!",,1.0,"mehr als schlecht,aufgrund der GeschäftsFührung und deren Führungsstiles",1.0,schlecht!,1.0,,1.0,"nichts möglich,wird nichts angeboten",3.0,ausbeute!,1.0,,1.0,"gibt keinen zusammenhalt,da 90 Prozent der Mitarbeiter nach spätestens 2 Monaten kündigen!keiner hält es lange aus!",1.0,,1.0,,3.0,,1.0,,1.0,,1.0,
739,Model GmbH,Nein,Nein,,,2013-11-01T00:00:00+00:00,"3,8",Angestellte/r oder Arbeiter/in,Produktion,Tolles Unternehmen mit speziellem bayerischer Scharm,,,,,,,,"das man keine hohe Ausbildung braucht um dort Kariere zu machen. Jeder hat die gleichen Chancen. Wenn man sich anstrengt, kann man es mit einem Hauptschulabschluss bis zum Abteilungsleiter bringen.","schlechte öffentliche Anbindung, kaum professionelle Weiterbildungsmöglichkeiten, wenig Information über das was im Unternehmen so passiert.",das besser machen was ich nicht so gut finde,4.0,,5.0,,3.0,auf Grund der Zugehörigkeit zur Automobilindustrie gibt es entweder viel zu tun = Überstunden oder wenig = Überstunden abfeiern.,2.0,,4.0,,4.0,,3.0,,5.0,,4.0,,5.0,,2.0,,5.0,,4.0,
740,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2017-12-12T00:00:00+00:00,"4,2",Ex-Angestellte/r oder Arbeiter/in,,gutes unternehmen/ gute vermittlungschancen,,,,,,,,"man ist stehts bemüht die leute wieder in den gewünschten job zu vermitteln,was auch mal nicht gelingen kann, da es dann mit der firma nicht passt,aber das sind dann absprachen zwischen neuer firma und suchenden",,,4.0,vermittler war freundlich und immer erreichbar für mich.problemlose bewerbung plus gespräche.war immer bemüht probleme zu lösen,4.0,,4.0,,4.0,,5.0,,4.0,,4.0,die absprachen waren immer korrekt,5.0,ist sehr gut,4.0,"ich wurde informiert von meinem berater wenn etwas im argen war, man konnte dann miteinander reden",4.0,ist alles ok so wie es ist,5.0,"kommunikation zwischen arbeitgeber und vermittlung hat funktioniert,vermittler war auch bei gesprächen mit neuen arbeitgeber anwesend und danach auch noch erreichbar",4.0,ist da gegeben,4.0,
741,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2017-12-11T00:00:00+00:00,"4,7",Angestellte/r oder Arbeiter/in,Personal / Aus- und Weiterbildung,"Top-Marke mit gelebter HR-Leidenschaft, Gestaltungsfreiraum und sportlichen Teamgeist",,,,,,,,"Sehr guter Brand im gehobenen Mittelstand, extrem hoher Gestaltungsspielraum, sehr gute Integration neuer Berater m/w (durch Team, System, Coaching usw.), Top-Einkommensmöglichkeiten.","Ein sehr erfolgreicher Trainer hat ein etabliertes, ausgereiftes System, jedoch sollte er dieses von Zeit zu Zeit überdenken bzw. im Zuge der hohen Ziele, daher punktuell an die Top-Spieler anpassen!","Angebote bzgl. Karriere-Pfade für langjährige Mitarbeiter m/w verständlicher kommunizieren und offen sein für die (nötigen) Impulse, die langjährige Strukturen den hohen Zielen anzupassen.",5.0,,4.0,,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,4.0,,5.0,,4.0,
742,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2017-12-11T00:00:00+00:00,"5,0",Führungskraft / Management,Personal / Aus- und Weiterbildung,"Top-Arbeitgeber: Zielstrebig und effizient. Vertrauen und Leistung gehen Hand in Hand. ""Mit Herz und Verstand"" passt.",,,,,,,,"Klares Konzept, klare Erwartungshaltung, extrem gute Entlohnung und viel Verantwortung bereits für junge Berater/innen.Und: sehr erfolgreich am Markt.",,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
743,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2017-12-11T00:00:00+00:00,"5,0",Führungskraft / Management,Vertrieb / Verkauf,Unternehmens- und Leistungskultur vom Feinsten! Nahezu einzigartig innerhalb dieser Branche,,,,,,,,"HAPEKO ist / vergibt ein Lebens- und Arbeitsgefühl. Mitunter resultiert dieses,auch maßgeblich,aus einem sehr modernen Management, welches transparent innerhalb der flachen Hierarchien operiert und Kollegialität im Ganzen vorlebt.",,"Sinnvolle Verbesserungsvorschläge werden idR sofort aufgegriffen, geprüft und umgesetzt. Damit erübrigt sich weiteres an dieser Stelle.",5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
744,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2017-12-11T00:00:00+00:00,"3,3",Ex-Angestellte/r oder Arbeiter/in,,Nicht sehr überzeugend,,,,,,,,- tolle Teams- spannende Aufgaben,Das Verhalten des Arbeitgebers war auf längere Zeit für viele Kollegen nicht tragbar. Leider habe ich lange nicht so viel gelernt wie erhofft. Es gab häufig Anspielungen auf der Ebene der sexuellen Identifikation. Dies ist nicht tragbar!,"- aktives Zuhören- nicht alles persönlich nehmen- kein Spielraum für Spekulationen schaffen- mehr Transparenz zwischen AN und AG- Anspielungen auf Sexualität, Beziehungen und Aussehen gehören nicht an den Arbeitsplatz und sind vom AG nicht auf diese Weise anzusprechen",4.0,,,,3.0,,3.0,,3.0,,2.0,,3.0,,5.0,,1.0,Leider ist das Verhalten der Vorgesetzten nicht akzeptabel. Nach Kündigung des Arbeitsverhältnisses wird man mit Ignoranz bestraft.,3.0,,3.0,,5.0,,5.0,
